,Big Freq,Little Freq,Partition point 1,Partition Point 2,ampere,Volt,Watt,FPS,Latency,FPS/Watt,partition point beide
1,500000,500000,1,1,,5.04,2.4,2.3,638,0.9583333333,11
2,500000,500000,2,5,,5.04,2.9,2.2,1346,0.7586206897,25
3,500000,500000,3,3,,5.04,2.9,1.9,816,0.6551724138,33
4,500000,500000,1,5,,5.04,2.9,3.9,639,1.344827586,15
5,1398000,500000,1,1,0.69,5.04,3.4,5.2,328,1.529411765,11
6,1398000,500000,2,5,0.5,5.04,2.5,2.2,1335,0.88,25
7,1398000,500000,3,3,0.62,5.04,3.2,1.9,630,0.59375,33
8,1398000,500000,1,5,0.64,5.04,3.3,5.2,578,1.575757576,15
9,1800000,500000,1,1,0.78,5.04,3.9312,5.2,302,1.322751323,11
10,1800000,500000,2,5,0.7,5.04,3.528,2.2,1336,0.6235827664,25
11,1800000,500000,3,3,0.72,5.04,3.6288,1.9,610,0.5235890653,33
12,1800000,500000,1,5,0.7,5.04,3.528,5.2,578,1.473922902,15
13,2208000,500000,1,1,0.98,5.04,4.9392,5.2,284,1.052802073,11
14,2208000,500000,2,5,0.9,5.04,4.536,2.2,1337,0.4850088183,25
15,2208000,500000,3,3,0.9,5.04,4.536,1.9,594,0.4188712522,33
16,2208000,500000,1,5,0.9,5.04,4.536,5.1,581,1.124338624,15
17,500000,1398000,1,1,0.7,5.04,3.528,2.3,510,0.6519274376,11
18,500000,1398000,2,5,0.6,5.04,3.024,3.9,652,1.28968254,25
19,500000,1398000,3,3,0.58,5.04,2.9232,3.5,525,1.197318008,33
20,500000,1398000,1,5,0.63,5.04,3.1752,3.9,412,1.228269085,15
21,1398000,1398000,1,1,0.74,5.04,3.7296,7.5,206,2.010939511,11
22,1398000,1398000,2,5,0.61,5.04,3.0744,5.7,520,1.854020297,25
23,1398000,1398000,3,3,0.65,5.04,3.276,4.8,313,1.465201465,33
24,1398000,1398000,1,5,0.75,5.04,3.78,10.8,240,2.857142857,15
25,1800000,1398000,1,1,0.8,5.04,4.032,9.4,180,2.331349206,11
26,1800000,1398000,2,5,0.72,5.04,3.6288,5.8,516,1.598324515,25
27,1800000,1398000,3,3,0.72,5.04,3.6288,4.8,290,1.322751323,33
28,1800000,1398000,1,5,0.78,5.04,3.9312,13.5,222,3.434065934,15
29,2208000,1398000,1,1,1.08,5.04,5.4432,11.2,162,2.057613169,11
30,2208000,1398000,2,5,0.78,5.04,3.9312,5.8,515,1.475376475,25
31,2208000,1398000,3,3,0.95,5.04,4.788,4.9,271,1.023391813,33
32,2208000,1398000,1,5,0.92,5.04,4.6368,13.5,221,2.911490683,15
33,500000,1800000,1,1,0.6,5.04,3.024,2.3,493,0.7605820106,11
34,500000,1800000,2,5,0.6,5.04,3.024,3.9,611,1.28968254,25
35,500000,1800000,3,3,0.6,5.04,3.024,3.5,504,1.157407407,33
36,500000,1800000,1,5,0.7,5.04,3.528,3.9,395,1.105442177,15
37,1398000,1800000,1,1,0.77,5.04,3.8808,7.5,192,1.932591218,11
38,1398000,1800000,2,5,0.7,5.04,3.528,6.9,433,1.955782313,25
39,1398000,1800000,3,3,0.7,5.04,3.528,5.8,278,1.64399093,33
40,1398000,1800000,1,5,0.8,5.04,4.032,10.8,213,2.678571429,15
41,1800000,1800000,1,1,0.82,5.04,4.1328,9.4,165,2.274487031,11
42,1800000,1800000,2,5,0.74,5.04,3.7296,6.9,430,1.85006435,25
43,1800000,1800000,3,3,0.78,5.04,3.9312,5.8,255,1.475376475,33
44,1800000,1800000,1,5,0.87,5.04,4.3848,13.5,194,3.078817734,15
45,2208000,1800000,1,1,1.08,5.04,5.4432,11.2,148,2.057613169,11
46,2208000,1800000,2,5,0.9,5.04,4.536,7,428,1.543209877,25
47,2208000,1800000,3,3,0.98,5.04,4.9392,5.9,237,1.194525429,33
48,2208000,1800000,1,5,1.02,5.04,5.1408,15.9,184,3.092903828,15
49,500000,500000,3,5,0.6,5.04,3.024,1.9,1565,0.6283068783,35
50,1398000,500000,3,5,0.62,5.04,3.1248,1.9,1577,0.6080389145,35
51,1800000,500000,3,5,0.71,5.04,3.5784,1.9,1552,0.5309635591,35
52,2208000,500000,3,5,0.9,5.04,4.536,1.9,1552,0.4188712522,35
